"job_id","days_since_posted","open_position","company_name","job_type","job_location","min_salary","max_salary","midpoint_salary","job_spec","job_function","job_industry","industry_name"
"1153","7","Manager Accounting","Serrebeauty","Full Time","Jakarta Raya","11000000.0","15000000.0","13000000.0","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"1154","7","Accounting Staff","BINTANG SAMUDERA MANDIRI LINES,PT","Full Time","Jakarta Selatan","","","","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"1155","7","Flavorist Manager","CV. JAYA PRAKARSA ABADI","Full Time","Jakarta Raya","20000000.0","30000000.0","25000000.0","Manajemen – Toko","Manajemen","Ritel & Produk Konsumen","Ritel"
"1156","7","Logistik","PT TRIMITRA ASIA GLOBAL","Full Time","Jakarta Barat","","","","","","",""
"1157","7","IT Support","PT Deswa Invisco Multitama","Kontrak/Temporer","Jakarta Selatan","","","","Meja Bantuan & Dukungan IT","Teknologi Informasi","Teknologi Informasi & Komunikasi","Teknologi"
"1158","7","Marketing Manager (Retail Mom & Baby Product)","PT GIANDHI DUNIA REKREASI","Full Time","Jakarta Selatan","","","","Manajemen Brand","Manajemen","Pemasaran & Komunikasi",""
"1159","7","Account Executive Intern","PT Suitmedia Kreasi Indonesia","Full Time","Jakarta Selatan","","","","Pengembangan Bisnis Baru","Penjualan","Penjualan",""
"1160","7","Procurement Officer (Data Center Project)","PT YPTT Solutions Indonesia","Kontrak/Temporer","Jakarta Pusat","","","","Manajemen Proyek","Manajemen","Konstruksi","Konstruksi"
"1161","7","Fullstack Developer (Project Based, Hybrid)","PT KEHAMILAN SEHAT SEJAHTERA","Full Time","Hibrid","","","","Developer/Programmer","Desain","Teknologi Informasi & Komunikasi","Teknologi"
"1162","7","Plastic Recycling Coordinator","PT.  Universal Eco Pasific","Full Time","Jakarta Pusat","","","","Analisis & Pelaporan","Analitik","Manufaktur, Transportasi & Logistik","Logistik"
"1163","7","People & Talent Officer","PT SINTESA INTEGRASI MANAJEMEN","Full Time","Jakarta Selatan","","","","Konsultasi & HR Umum","Konsulting","Sumber Daya Manusia & Perekrutan",""
"1164","7","Senior Quantity Surveyor","PT Colliers International Indonesia","Full Time","Jakarta Selatan","","","","Survey","Teknik","Konstruksi","Konstruksi"
"1165","7","Admin Internal Audit","PT. UNIVERSAL BAHTERA INDO","Full Time","Jakarta Pusat","","","","Audit – Internal","Akunting","Akuntansi",""
"1166","7","ADMINISTRASI / MARKETING / FREELANCER","Pengiklan Anonim","Full Time","Jakarta Raya","","","","Komunikasi Pemasaran","Pemasaran","Pemasaran & Komunikasi",""
"1167","7","Marketing Campaign (6-Month Contract)","Elitez Pte Ltd","Kontrak/Temporer","Jakarta Selatan","","","","Komunikasi Pemasaran","Pemasaran","Pemasaran & Komunikasi",""
"1168","7","Business Analyst","PT Asuransi Tokio Marine Indonesia","Full Time","Hibrid","","","","Analis Bisnis/Sistem","Analitik","Teknologi Informasi & Komunikasi","Teknologi"
"1169","7","Inventory Audit","PT KOTAMAS MAKMUR NATIONAL AGENCY","Full Time","Jakarta Pusat","5000000.0","5800000.0","5400000.0","Manajemen – Area/Multi-lokasi","Manajemen","Ritel & Produk Konsumen","Ritel"
"1170","7","Leader Commersial","The Mercy Clinic","Kontrak/Temporer","Jakarta Pusat","","","","Pengasuhan Anak & Perawatan di Luar Jam Sekolah","Kesehatan","Pendidikan & Pelatihan","Pendidikan"
"1171","7","Head of Data Science & Analytics (Fintech – Payments & Lending)","PT Nityo Infotech","Full Time","Jakarta Raya","50000000.0","70000000.0","60000000.0","Manajemen","Manajemen","Teknologi Informasi & Komunikasi","Teknologi"
"1172","7","Staff Aftersales Engineer for a Marine Monitoring / Instrumentation / IoT System","PT. Inovasi Teknologi Generasi Cemerlang","Full Time","Jakarta Pusat","","","","Teknik Elektro/Elektronik","Teknik","Teknik",""
"1173","7","Air Freight (Export) Customer Service","ATLANTIC CONTAINER LINE GROUP","Full Time","Jakarta Selatan","5750000.0","7500000.0","6625000.0","Pengapalan/Pengurusan Transportasi","Logistik","Manufaktur, Transportasi & Logistik","Logistik"
"1174","7","Market Analyst (Home Appliance)","PT. Sanwoo Electronics","Full Time","Jakarta Raya","","","","Penelitian & Analisis Pasar","Analitik","Pemasaran & Komunikasi",""
"1175","7","Performance Marketing Lead (SEO, Google & Meta Ads) – Website Growth","PT Higienis Indonesia","Full Time","Jakarta Pusat","","","","Pemasaran Digital & Pencarian","Pemasaran","Pemasaran & Komunikasi",""
"1176","7","Tax Internship","PT Gloria Origita Cosmetics","Full Time","Jakarta Selatan","","","","Perpajakan","Akunting","Akuntansi",""
"1177","7","Keuangan","PT. Bangun Mataram Jaya","Full Time","Jakarta Timur","","","","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"1178","7","IT TECHNICAL SUPPORT","PT Warna Mardhika","Full Time","Jakarta Raya","","","","Meja Bantuan & Dukungan IT","Teknologi Informasi","Teknologi Informasi & Komunikasi","Teknologi"
"1179","7","General Ledger Supervisor","PT Elite Prima Hutama","Full Time","Jakarta Raya","","","","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"1180","7","IT (Cybersecurity & Automation)","CR Consultancy Pte Ltd","Full Time","Jakarta Raya","","","","Developer/Programmer","Desain","Teknologi Informasi & Komunikasi","Teknologi"
"1181","7","Finance Staff","PT Mandaramedika Utama","Full Time","Jakarta Utara","","","","Pegawai/Staf Akuntansi","Akunting","Akuntansi",""
"1182","7","Microsoft Dynamics 365 / Power Platform Developer","Asian Assistance (Thailand) Co., Ltd.","Full Time","Jarak jauh","","","","Developer/Programmer","Desain","Teknologi Informasi & Komunikasi","Teknologi"
"1183","7","ASSISTANT COST CONTROL MANAGER (F&B)","Pengiklan Anonim","Full Time","Jakarta Raya","","","","Manajemen","Manajemen","Hospitaliti & Pariwisata","Hospitaliti"
"1184","7","Admin Billing & Collection","PT Hipernet Indodata","Kontrak/Temporer","Jakarta Raya","","","","Asisten Administratif","Administratif","Administrasi & Dukungan Perkantoran",""
"1185","7","Mine Plan Engineering","PT Inti Utama Perkasa","Full Time","Jakarta Selatan","9000000.0","11000000.0","10000000.0","Pertambangan – Teknik & Pemeliharaan","Sains","Pertambangan, Sumber Daya Alam & Energi","Energi"
"1186","7","Credit Analyst Staff","PT Anugerah Digital Indonesia","Full Time","Jakarta Raya","","","","Analisis & Pelaporan","Analitik","Perbankan & Layanan Finansial","Perbankan"
"1187","7","Project Administrator","PT Astra Graphia Information Technology (AGIT)","Kontrak/Temporer","Jakarta Raya","","","","Asisten Administratif","Administratif","Administrasi & Dukungan Perkantoran",""
"1188","7","Ecommerce Staff - Kelapa Gading","PT Global Yimi Cargo (J&T Cargo)","Full Time","Jakarta Utara","","","","","","",""
"1189","7","Sales Manager","PT Pharos Indonesia","Kontrak/Temporer","Jakarta Raya","","","","Pengembangan Bisnis Baru","Penjualan","Penjualan",""
"1190","7","Sales Admin Staff","PT. Tri Harmonis Niagantara","Full Time","Jakarta Utara","","","","Asisten Administratif","Administratif","Administrasi & Dukungan Perkantoran",""
"1191","7","Senior Accounting Specialist","Pengiklan Anonim","Full Time","Jakarta Selatan","","","","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"1192","7","Marketing Intern","PT. Sailun Tire Indonesia","Kontrak/Temporer","Jakarta Utara","","","","Komunikasi Pemasaran","Pemasaran","Pemasaran & Komunikasi",""
"1193","7","Financial Analyst","PT. APCA Tirta Engineering","Full Time","Jakarta Raya","10000000.0","","","Analisis & Pelaporan","Analitik","Akuntansi",""
"1194","7","Public Relation Staff","PT Mandaramedika Utama","Full Time","Jakarta Utara","","","","Relasi Publik & Urusan Perusahaan","Sumber Daya Manusia","Pemasaran & Komunikasi",""
"1195","7","Staff Admin Penjualan","PT Ultra Komunindo Makmur Bersama","Full Time","Jakarta Barat","","","","Asisten Administratif","Administratif","Administrasi & Dukungan Perkantoran",""
"1196","7","IR Data Management Specialist","PT Intrias Mandiri Sejati","Kontrak/Temporer","Jakarta Raya","5729876.0","6500000.0","6114938.0","Analis Bisnis/Sistem","Analitik","Teknologi Informasi & Komunikasi","Teknologi"
"1197","7","Legal & Compliance Staff","PT Teknologi Merlin Sejahtera","Full Time","Jakarta Barat","5700000.0","6000000.0","5850000.0","Hukum Korporasi & Komersil","Sumber Daya Manusia","Hukum","Hukum"
"1198","7","Staff Sampling","PT Mitralab Buana","Kontrak/Temporer","Jakarta Selatan","","","","Teknik Lingkungan","Teknik","Teknik",""
"1199","7","Sales Partnership Consultant","PT Serasi Autoraya (Member of Astra)","Full Time","Jakarta Timur","","","","Perwakilan/Konsultan Penjualan","Penjualan","Penjualan",""
"1200","7","Senior IT Data Analyst","PT Bahari Eka Nusantara (Ben Line Agencies)","Full Time","Jakarta Raya","","","","Analis Bisnis/Sistem","Analitik","Teknologi Informasi & Komunikasi","Teknologi"
"1201","7","PURCHASING STAFF - PIK 2","PT TRI BOGA INVESTAMA","Full Time","Jakarta Utara","5000000.0","","","Pembelian, Pengadaan & Inventaris","Administratif","Manufaktur, Transportasi & Logistik","Logistik"
"1202","7","Operational Resilience Temporary","PT Intrias Mandiri Sejati","Kontrak/Temporer","Jakarta Raya","","","","Lainnya","Lainnya","Asuransi & Dana Pensiun","Asuransi"
"1203","7","IT System Analyst","PT ROYAL MEDICALINK PHARMALAB","Full Time","Jakarta Raya","5000000.0","5500000.0","5250000.0","Analis Bisnis/Sistem","Analitik","Teknologi Informasi & Komunikasi","Teknologi"
"1204","7","Manager Business Support","PT Lotte Shopping Indonesia","Full Time","Jakarta Timur","","","","Pengembangan Bisnis Baru","Penjualan","Penjualan",""
"1205","7","Telemarketing","Brader Parts","Full Time","Jakarta Utara","","","","Penjualan – Outbound","Penjualan","Call Center & Layanan Konsumen","Hubungan Konsumen"
"1206","7","Internal Audit Senior Staff","PT Duta Intiguna Yasa (MR DIY)","Full Time","Jakarta Raya","","","","Audit – Internal","Akunting","Akuntansi",""
"1207","7","Finance Manager","PT Glory Global Solutions Indonesia","Full Time","Jakarta Raya","","","","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"1208","7","Accounting & Reporting Specialist","Pengiklan Anonim","Full Time","Jakarta Raya","","","","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"1209","7","Recruitment Specialist","PT Berkat Sumber Rizki","Full Time","Jakarta Utara","7250000.0","9500000.0","8375000.0","Perekrutan – Internal","Sumber Daya Manusia","Sumber Daya Manusia & Perekrutan",""
"1210","7","General Accounting Staff","PT. MULTIFORTUNA SINARDELTA","Kontrak/Temporer","Jakarta Selatan","","","","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"1211","7","Finance & Accounting Manager (MANDARIN SPEAKER) 印尼区域财务经理","PT Lehe Foods Indonesia Trading","Full Time","Jakarta Barat","20000000.0","27000000.0","23500000.0","Manajer & Kontroler Finansial","Manajemen","Akuntansi",""
"1212","7","Performance Marketing Specialist (Meta Ads-Aesthetic Clinic)","PT Dunia Indah Makmur","Full Time","Jakarta Pusat","5500000.0","7500000.0","6500000.0","Pemasaran Digital & Pencarian","Pemasaran","Pemasaran & Komunikasi",""
"1213","7","[Publishing Center] League Operation Manager","MOONTON","Full Time","Jakarta Raya","","","","Manajemen","Manajemen","Pemasaran & Komunikasi",""
"1214","7","Project Manager & GTM, (Digital Ads)","Advertising","Full Time","Jakarta Raya","","","","Analis Bisnis/Sistem","Analitik","Teknologi Informasi & Komunikasi","Teknologi"
"1215","7","Merchandising Admin Intern","PT Luxehouze Group Indonesia","Full Time","Jakarta Raya","","","","Entri Data & Pengolahan Kata","Administratif","Administrasi & Dukungan Perkantoran",""
"1216","7","Customs & PIB/PEB Specialist (PPJK, CEISA, Import Export)","Pengiklan Anonim","Kasual","Jakarta Timur","","","","Impor/Ekspor & Pabean","Hukum","Manufaktur, Transportasi & Logistik","Logistik"
"1217","7","Internal Audit Officer","Indofood Group","Full Time","Jakarta Timur","","","","Audit – Internal","Akunting","Akuntansi",""
"1218","7","Business Intelligence","Deliveree (PT Angkut Teknologi Indonesia)","Full Time","Jakarta Raya","","","","Manajemen Akun & Relasi","Manajemen","Penjualan",""
"1219","7","Brand Innovation Manager - FMCG Company","Pengiklan Anonim","Full Time","Jakarta Raya","","","","Manajemen Brand","Manajemen","Pemasaran & Komunikasi",""
"1220","7","Beauty Consultant","The Swan Asthetics Clinic","Full Time","Jakarta Selatan","","","","","","",""
